HYBAS_ID,TDq0,Obs_TDq0,TDq1,Obs_TDq1,TDq2,Obs_TDq2,FDq0,Obs_FDq0,FDq1,Obs_FDq1,FDq2,Obs_FDq2,Nat_dis,LSR,IE_lmx,Riv_a,GTD,Bio1,Bio2,Bio8,Bio12,Bio15,Elev_range,Str_gra,For_ext,Cro_ext,Area,GDP,HDI,HFP,HMG,Sam_eff
1041473950,39,39,28.26926938,27.68609774,22.42426485,23.7953101,3.353290019,6.09170914,2.782050428,4.735268973,2.594875469,4.270386492,47.49,45,5,15111.614,130,21.64958156,15.62085321,23.62017845,713.0567337,111.8809341,660,19,27,1,155287.3,1383.843983,567,3.096470237,0.120774592,643.9676651
1041477980,33.66495726,33,26.29898567,25.1742244,19.74794403,20.88711892,3.529269519,5.667292015,3.041932237,4.695727439,2.818637826,4.174321182,192.91,71,0,14982.851,224,21.10292018,15.36323272,30.33654859,110.7817135,142.6255119,3117,34,37,2,107644.4,6801.304369,551,7.971296721,0.155559526,418.0431123
1041478080,21.74516129,21,14.40488762,13.39918076,10.25579229,10.27148354,2.969397823,4.217544628,2.50984091,3.268559021,2.279966618,2.847157598,41.732,15,0,3933.445,223,20.90005399,15.53330875,22.68766944,841.1836362,103.420754,809,27,0,1,60249.3,2702.032341,640,0.789586145,0.078938472,282.1609546
1041515680,53.12389106,50,27.46681761,27.20129544,21.13071917,22.30013872,3.870199158,7.639412258,2.870615006,4.755218458,2.654182377,4.178118748,148.138,29,12,7919.856,36,23.34667004,16.48692384,25.3301222,402.5668884,105.4732712,778,8,10,1,53195.9,12407.53911,681,2.202692696,0.071131553,5808.718341
1041515780,45.89855072,25,20.39840743,18.4478196,17.26832044,16.49942241,4.773144796,4.963278938,2.714091628,3.809877527,2.52964567,3.541208528,77.539,18,3,8695.546,180,22.20181011,16.06565491,24.35805118,560.1041534,114.3277613,80,20,1,1,130945.9,2026.128964,667,0.620561074,0.056192795,328.3798882
1041533130,26.18556701,20,17.18659251,14.93758775,13.00480409,12.20363165,3.373348686,4.122829999,2.569566724,3.403789233,2.394393458,3.063992765,122.63,10,9,3601.934,43,23.3390851,16.74927254,25.6399472,346.1291906,92.01498993,674,8,10,0,58303.2,4018.484738,698,2.715966675,0.050221811,343.0343446
1041548760,39.24986856,39,24.3153066,24.06713656,17.06849176,18.07825774,3.663297125,6.265934122,3.024987523,4.56337752,2.749647816,3.863501073,43.073,12,1,8119.578,513,19.98518202,15.28799835,24.26419519,509.5965053,85.43352951,1440,54,17,12,133110.8,1039088.327,645,8.227644614,0.23800166,1622.7083
1041576090,46.09989177,46,27.23414082,26.5586445,17.47439399,18.07086314,3.694399579,6.965817494,3.083303803,4.864267477,2.798220781,3.920828823,158.915,52,3,15051.184,405,21.34212296,13.94257256,24.75906434,531.1509401,90.7128325,1773,55,48,14,77221.4,107510.8839,533,7.734120867,0.203305737,1748.220053
1041576130,95.96492595,51,25.23186958,24.45135573,15.92338227,16.36255107,3.711831696,7.454605778,3.131043982,4.677945078,2.833363645,3.771356424,118.206,56,2,12044.642,441,19.61396549,13.93773413,23.06316361,645.8457809,81.26669966,2228,84,37,13,81485.4,229740.3592,601,9.138803972,0.29707492,2687.598024
1041620200,18.98828125,16,12.2089431,11.75933646,9.685086797,10.37947418,2.774280233,3.668482357,2.536782399,3.157842139,2.412719065,2.966414496,24.496,8,9,3488.271,668,18.96182566,15.37045047,23.72209601,161.6551951,103.843018,1981,66,0,0,86977.8,3501.302025,640,2.653766509,0.024235732,436.8930923
1041620260,20.83333333,13,12.92027245,10.45822248,10.46804434,9.142857143,2.896136795,3.357038344,2.562754121,2.953725769,2.429679414,2.7651138,280.182,8,4,7642.351,842,19.79480173,16.66640022,24.85011142,132.9751617,71.92895493,1847,93,0,0,68986.1,1055.52557,662,3.809163438,0.025142876,173.9480852
1041624310,15.66055046,15,11.80676448,10.98045894,9.22145174,9.260327358,2.95110862,3.621592407,2.570556684,3.070083134,2.405229833,2.827009882,123.442,5,1,13286.004,255,20.2582337,17.28805279,24.99577643,301.6631776,89.88303738,1846,19,0,3,361380.7,10944.75416,670,4.483492732,0.057312887,44.27463891
1041629370,33.49305556,31,19.4163287,18.49046877,14.27944176,14.43528626,3.506641727,5.44795453,2.808539908,3.946459575,2.543288462,3.428196153,185.198,30,1,16452.523,425,16.37667779,16.1513006,21.24609606,574.5974532,72.16617718,2246,41,0,27,197513.3,689342.1728,664,10.01110184,0.304961099,324.0288122
1041629430,23.11966825,22,15.55991258,14.70633325,11.75990781,11.87543345,3.39654508,4.548522095,2.724810561,3.532610197,2.434677089,3.124153142,114.203,57,1,12519.823,614,13.95590658,15.13195669,19.26544428,580.1330753,60.58475719,2425,121,1,7,98763.6,46085.85649,613,8.892920874,0.218637999,536.6349546
2040000010,108.6421066,100,26.85075622,26.71866496,17.76398208,18.08956965,7.886390394,15.58910542,3.209666911,4.966842175,2.68336856,3.849181852,0,227,14,55312.453,421,14.66122287,11.10963664,5.408655705,484.2016083,39.71819233,2363,189,13,27,328692.9,7065829.319,739,12.61122625,0.48859415,6811.829522
